feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X42f2c85e07acb225914a6f74539a7493	antidepressant_on_off	on	-0.00248568949159122	0.0195554897185962	104	18	0.899103938266598	0.963256048152776
X2440362c889061ed1e3336b6294559b9	antidepressant_on_off	on	0.00499208106355752	0.0155883461299519	104	63	0.749438145806038	0.963256048152776
X70ac971d9d8650d6d1b756a39b8709c8	antidepressant_on_off	on	0.00996036182461098	0.0151615757241163	104	56	0.512694130677848	0.963256048152776
cfccfa9165148a389d5d226d7f97efff	antidepressant_on_off	on	0.00408075863082751	0.0189069227920474	104	21	0.829548092069468	0.963256048152776
X9b240322f8821ffba1a5f8bb330b0939	antidepressant_on_off	on	-0.00161302482855652	0.0186598359314758	104	17	0.93128319345533	0.963256048152776
X45c8d14eb00ef2e9f7e2c5dd9f9e58bc	antidepressant_on_off	on	-0.00588730320606962	0.0156433683196953	104	52	0.707442130993898	0.963256048152776
ad6578b29eaa8bbabaa2b32058cf16b9	antidepressant_on_off	on	0.00928575552370874	0.0164360825050176	104	45	0.573340354946163	0.963256048152776
feb2e37114daa6d2f4387811e83850ba	antidepressant_on_off	on	0.00430319378217397	0.0164287278957403	104	55	0.793902835169729	0.963256048152776
X14e5bc76eb89c574b800654364a9a6d2	antidepressant_on_off	on	-0.00259132305183175	0.0150771790260135	104	72	0.86387983318877	0.963256048152776
d5cbbc9a01e17da0efbca098fa6736f9	antidepressant_on_off	on	0.00308122573915447	0.0166346903577112	104	66	0.853417307613152	0.963256048152776
X15de8f3c7d606dc32447b7267f7c265e	antidepressant_on_off	on	0.000744803957231162	0.0172366118040672	104	32	0.965618149326213	0.97574763627472
d062c370afa965a780cca734ce7f438f	antidepressant_on_off	on	-0.000537705312116132	0.0138103445955171	104	73	0.969018342231446	0.97574763627472
a7e85c6aac48df33665b07f5620aeef2	antidepressant_on_off	on	0.000552236205799732	0.0189930297900099	104	15	0.97686100617556	0.97686100617556
